bd_date,ao_id,q_user_id,backblast
2022-08-13,C0168ASEPD5,U019MT194E7,"Slackblast: 
Lincoln Elementary Clean-Up
DATE: 2022-08-13
AO: <#C0168ASEPD5>
Q: <@U019MT194E7>
PAX: <@U017E4NMFQV> <@U02F2UV0MCL> <@U01C4AULU5B> <@U03765UPB8C> <@U03EPDEKY4U> 
FNGs: None
COUNT: 6
WARMUP: 
THE THANG: 
MARY: 
ANNOUNCEMENTS: 
COT: "
2022-12-03,C0168ASEPD5,U0176U2L03X,"Slackblast: 
Inaugural Adopt A Highway Cleanup
DATE: 2022-12-03
AO: <#C0168ASEPD5>
Q: <@U0176U2L03X>
PAX: <@U041R4GK79V> <@U03SJESV9JR> <@U03TL1GG31B> <@U03LN0AB2NL> <@U0459S40S07> <@U04C9LC424U> <@U03765UPB8C> <@U017QPPK1FB> <@U017QPPJN6M> <@U02H51CJS30> <@U02A96WLKRB> <@U0194BS66MQ> <@U0176U2L03X> 
FNGs: Freon FIL, Einstein 2,0, Lazer 2.0
COUNT: 16
."
2023-03-30,C0168ASEPD5,U017QPPJVJ5,"Slackblast: 
Shield Lock Q1.7 Southern Belles
DATE: 2023-03-30
AO: <#C03KZ95AS75>
Q: <@U017QPPJVJ5>
PAX: <@U02H51CJS30> <@U02A96WLKRB> <@U019Y7P6XPF> <@U016TRPRHKL> <@U03SJESV9JR> <@U016V6KHM36> <@U016M1Z8NLE> <@U01ELRMAL7L> <@U017QPPJVJ5> <@U017Q6TF0TB> <@U03ESCYKTGR> <@U02A96W697X> 
FNGs: None
COUNT: 12
WARMUP: 
THE THANG: 
MARY: 
ANNOUNCEMENTS: 
COT: "
2023-08-12,C0168ASEPD5,U018098KAAC,"Slackblast: 
Gaga Ball Pit at Lincoln Elementary School
DATE: 2023-08-12
AO: <#C0168ASEPD5>
Q: <@U018098KAAC>
PAX: <@U04RBT6T8RJ> <@U04U8EGCQS1> <@U03EPDEKY4U> <@U03765UPB8C> <@U017BQTUL3D> <@U016890PYHM> <@U048GCZ7GBY> <@U03HM57HSKG> <@U02F2UV0MCL> <@U016M1Z8NLE> <@U058SP7GRJ6> 
FNGs: None
COUNT: 12
WARMUP: 
THE THANG: 
MARY: 
ANNOUNCEMENTS: 
COT: "
2023-09-30,C0168ASEPD5,U03765UPB8C,"Slackblast: 
Homecoming parade 
DATE: 2023-09-30
AO: <#C0168ASEPD5>
Q: <@U03765UPB8C>
PAX: <@U016890PYHM> <@U048GCZ7GBY> <@U03765UPB8C> <@U03TX17L7AQ> <@U041R4GK79V> <@U02AEHZ4JSG> <@U03EPDEKY4U> <@U02KN9HUSE6> <@U01C516QSQZ> <@U05UDL3EVGR> <@U05QD3D6ZK7> <@U05HU9LRN92> <@U019MT194E7> <@U04Q01BPTPE> 
FNGs: Splash, monarch, flyer, Tebow, Tiny Dancer, Creeper, Jaws
COUNT: 25
WARMUP: 
THE THANG: 
MARY: 
ANNOUNCEMENTS: 
COT: "
2023-10-21,C0168ASEPD5,U016M1Z8NLE,"Slackblast: 
Feed My Starving Children
DATE: 2023-10-21
AO: <#C0168ASEPD5>
Q: <@U016M1Z8NLE>
PAX: <@U04Q01BPTPE> <@U05A6AHMPT5> <@U055Y162DEH> <@U02A96W697X> <@U016M1Z8NLE> <@U05GG5NR7KM> 
FNGs: None
COUNT: 6
WARMUP: 
THE THANG: 
MARY: 
ANNOUNCEMENTS: 
COT: "
2023-11-11,C0168ASEPD5,U048GCZ7GBY,"Slackblast: 
Craft Fair Setup at Lincoln Elementary 
DATE: 2023-11-11
AO: <#C0168ASEPD5>
Q: <@U048GCZ7GBY>
PAX: <@U02F2UV0MCL> <@U04H6HMNPH9> 
FNGs: None
COUNT: 3
WARMUP: 
THE THANG: 
MARY: 
ANNOUNCEMENTS: 
COT: "
2023-12-02,C0168ASEPD5,U03765UPB8C,"Slackblast: 
Highway Cleanup
DATE: 2023-12-02
AO: <#C0168ASEPD5>
Q: <@U03765UPB8C>
PAX: <@U016VPSQSFR> <@U0171KQRB6D> <@U03U8N4P5G8> <@U017B8D6AHH> <@U016890PYHM> <@U03TL1GG31B> <@U03765UPB8C> <@U03SJESV9JR> <@U04C9LC424U> <@U064F9H5MAR> <@U04H3PWJN5A> <@U03EPDEKY4U> <@U05LL7ESE79> <@U02A96W697X> <@U04RBT6T8RJ> <@U02F2UV0MCL> <@U04U8EGCQS1> <@U04RQB0TXFS> <@U0603QP17QE> <@U041R4GK79V> 
FNGs: Pikachu, Cheesehead, Panda, Cheetah, Reynoldo
COUNT: 25
WARMUP: 
THE THANG: 
MARY: 
ANNOUNCEMENTS: 
COT: "
2024-01-12,C0168ASEPD5,U02A96W697X,"Backblast! Squares 
DATE: 2024-01-12
AO: <#C0168ASEPD5>
Q: <@U02A96W697X>
PAX: <@U01E40PTNFJ> <@U02F2UV0MCL> <@U03SX99V3PU> <@U04H6HMNPH9> <@U04RBT6T8RJ> <@U057QBF3TPW> <@U04C9LC424U> <@U020A7W78FQ> <@U02KN9HUSE6> <@U0176U2L03X> <@U06A1RN2DQF> <@U017QPPJVJ5> <@U03SJESV9JR> <@U05TUKL5N87> <@U019MT194E7> <@U05H6UA0KCK> <@U05QD3D6ZK7> <@U03V4L75W23> <@U016M1Z8NLE> <@U01B8FLBHKP> <@U03U8N4P5G8> <@U02H51CJS30> <@U041T9ACB3L> 
FNGs: None
COUNT: 24

WARMUP: 
THE THANG: 
MARY: 
ANNOUNCEMENTS: 
COT: "
2024-01-19,C0168ASEPD5,U04RQB0TXFS,"Backblast! Food truck - Pantry Style
DATE: 2024-01-19
AO: <#C0168ASEPD5>
Q: <@U04RQB0TXFS>
PAX: <@U016M1Z8NLE> <@U04U8EGCQS1> <@U041R4GK79V> 
FNGs: None
COUNT: 4

WARMUP: 
THE THANG: 
MARY: 
ANNOUNCEMENTS: 
COT: "
